
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        21       688217          1542        650725          1194        374985          3623
        33       841275           813        797536           753        458242          2199
        45       852308           745        806368           696        461711          2062
        55       845258           630        798980           673        459931          2051
        64       837036           567        793003           823        464408          2075
        75       847217           786        806069           620        472358          2017
        85       853005           889        810603           516        472827          2002
        97       853394           673        807613           691        467316          2075
       106       844821           746        800653           528        463084          1800
       119       839073           816        794822           468        466871          1866
       127       823336           659        779538           692        460238          1976
       139       820075           769        773736           620        447128          1958
       149       820360           896        769118           513        447486          1965
       161       817081           540        765044           749        458720          1846
       171       818070           616        765324           601        445513          1787
       181       814021           794        761122           547        438126          1869
       195       805911           836        754520           666        436982          2005
       205       801877           766        751670           661        441422          1923
       215       789752           703        741653           693        436847          1945
       225       786580           686        737893           594        436953          1798
       235       790988           800        741913           513        437427          1787
       242       796310           843        747525           485        437735          1853
       250       791460           716        741281           646        444665          1932
       260       801984           667        752890           625        432301          1837
       271       798274           807        748464           545        439750          1838
       277       801522           696        752500           569        441442          1822
       286       824256           768        774376           577        440333          1976
       299       824174           712        774046           573        439583          1899
       311       835496           928        785538           450        441348          1906
       320       841336           605        792841           595        450643          1701

Final score for writes:           320
Final score for reads :        283136

