
#  ./fs_mark  -d  /tmp/fsmark-4298/1  -d  /tmp/fsmark-4298/2  -d  /tmp/fsmark-4298/3  -d  /tmp/fsmark-4298/4  -d  /tmp/fsmark-4298/5  -d  /tmp/fsmark-4298/6  -d  /tmp/fsmark-4298/7  -d  /tmp/fsmark-4298/8  -d  /tmp/fsmark-4298/9  -d  /tmp/fsmark-4298/10  -d  /tmp/fsmark-4298/11  -d  /tmp/fsmark-4298/12  -d  /tmp/fsmark-4298/13  -d  /tmp/fsmark-4298/14  -d  /tmp/fsmark-4298/15  -d  /tmp/fsmark-4298/16  -D  10000  -n  6250  -L  30  -t  16  -S0  -s  0 
#	Version 3.3, 16 thread(s) starting at Thu Oct 18 07:19:02 2018
#	Sync method: NO SYNC: Test does not issue sync() or fsync() calls.
#	Directories:  Time based hash between directories across 10000 subdirectories with 180 seconds per subdirectory.
#	File names: 40 bytes long, (16 initial bytes of time stamp with 24 random bytes at end of name)
#	Files info: size 0 bytes, written with an IO size of 16384 bytes per write
#	App overhead is time in microseconds spent in the test not doing file writing related system calls.

FSUse%        Count         Size    Files/sec     App Overhead
     5       100000            0      22813.4          3660076
     5       200000            0      25602.8          4169388
     5       300000            0      25453.4          3942607
     5       400000            0      24987.5          3926706
     5       500000            0      25140.9          3915712
     5       600000            0      25964.6          3895846
     5       700000            0      24561.1          4010938
     5       800000            0      25502.0          3918988
     5       900000            0      24405.5          4005774
     5      1000000            0      25498.5          4040211
     5      1100000            0      25364.4          4063888
     5      1200000            0      24605.3          4207913
     5      1300000            0      25503.7          4114213
     5      1400000            0      24527.6          4150587
     5      1500000            0      25176.0          4247583
     5      1600000            0      25010.0          4268251
     5      1700000            0      24400.6          4119921
     5      1800000            0      25228.0          4255626
     5      1900000            0      25123.5          4191543
     5      2000000            0      24748.9          4212964
     5      2100000            0      24679.0          4179839
     5      2200000            0      24893.6          4235539
     5      2300000            0      24689.1          4213197
     5      2400000            0      25466.5          4165723
     5      2500000            0      24945.0          4190123
     5      2600000            0      24732.1          4221753
     5      2700000            0      24164.0          4176769
     5      2800000            0      25665.7          4127585
     5      2900000            0      24999.2          4191702
     5      3000000            0      23099.5          4257260
