
#  ./fs_mark  -d  /tmp/fsmark-7627/1  -d  /tmp/fsmark-7627/2  -d  /tmp/fsmark-7627/3  -d  /tmp/fsmark-7627/4  -d  /tmp/fsmark-7627/5  -D  10000  -n  20000  -L  30  -t  5  -S0  -s  0 
#	Version 3.3, 5 thread(s) starting at Thu Oct 25 08:58:45 2018
#	Sync method: NO SYNC: Test does not issue sync() or fsync() calls.
#	Directories:  Time based hash between directories across 10000 subdirectories with 180 seconds per subdirectory.
#	File names: 40 bytes long, (16 initial bytes of time stamp with 24 random bytes at end of name)
#	Files info: size 0 bytes, written with an IO size of 16384 bytes per write
#	App overhead is time in microseconds spent in the test not doing file writing related system calls.

FSUse%        Count         Size    Files/sec     App Overhead
     5       100000            0      15566.9          2690943
     5       200000            0      15953.7          2695373
     5       300000            0      15546.9          2716689
     5       400000            0      16204.8          2697228
     5       500000            0      16340.0          2658593
     5       600000            0      16606.3          2653037
     5       700000            0      16148.4          2734561
     5       800000            0      15812.7          2727617
     5       900000            0      16329.3          2746099
     5      1000000            0      16167.8          2791809
     5      1100000            0      15942.1          2826216
     5      1200000            0      15784.8          2832131
     5      1300000            0      15377.2          2858364
     5      1400000            0      15799.1          2829009
     5      1500000            0      15711.1          2851305
     5      1600000            0      15967.0          2826790
     5      1700000            0      15845.0          2824047
     5      1800000            0      15612.9          2864265
     5      1900000            0      15713.7          2830303
     5      2000000            0      15863.8          2842786
     5      2100000            0      15717.9          2858318
     5      2200000            0      15836.7          2858592
     5      2300000            0      15758.6          2839976
     5      2400000            0      15740.2          2839060
     5      2500000            0      15646.6          2853062
     5      2600000            0      15792.8          2859492
     5      2700000            0      15548.3          2878797
     5      2800000            0      15825.4          2874006
     5      2900000            0      15434.4          2880686
     5      3000000            0      15814.2          2871150
